Age Group,Male Population,Female Population,Total Population
0-4,2012721,1918445,3931166
5-9,1960440,1874123,3834563
10-14,2058007,1936118,3994125
15-19,2093556,1968246,4061802
20-24,2116181,1997517,4113698
25-29,2082042,1990717,4072759
30-34,2029000,1969270,3998270
35-39,1929373,1892209,3821582
40-44,1829404,1816501,3645905
45-49,1659088,1654056,3313144
50-54,1445596,1433997,2879593
55-59,1203322,1191203,2394525
60-64,932024,912492,1844516
65-69,674637,663395,1338032
70-74,405161,414630,819791
75+,328428,390503,718931
Total,24758980,24023422,48782402
